begin,open,close,high,low,value,volume,end,return,volatility,volume_zscore
2026-06-29 20:00:00,2355.95,2351.65,2355.95,2351.05,0,2296,2026-06-29 20:09:59,-0.0016768551536762155,0.0025895391371116763,-1.0028266906111807
2026-06-29 20:10:00,2351.55,2348.55,2352.75,2347.95,0,1993,2026-06-29 20:19:59,-0.0013182233750770322,0.0025662146189325053,-1.0258139928484236
2026-06-29 20:20:00,2348.5,2347.5,2350.65,2347.0,0,1482,2026-06-29 20:29:59,-0.00044708437120788425,0.002567961273742703,-1.1047128828539738
2026-06-29 20:30:00,2347.65,2348.45,2349.8,2346.05,0,1795,2026-06-29 20:39:59,0.0004046858359956218,0.0025304261947760713,-0.9958043551986739
2026-06-29 20:40:00,2348.65,2348.05,2348.9,2346.15,0,778,2026-06-29 20:49:59,-0.00017032510804981804,0.0024994101013219154,-1.182266455989465
2026-06-29 20:50:00,2347.8,2348.3,2349.5,2347.25,0,612,2026-06-29 20:59:59,0.00010647132727159558,0.002426946186915093,-1.1707699934606337
2026-06-29 21:00:00,2348.35,2358.1,2358.75,2347.7,0,5076,2026-06-29 21:09:59,0.004173231699527102,0.0024631386729180704,-0.20371134413470915
2026-06-29 21:10:00,2358.45,2363.3,2367.75,2357.3,0,11512,2026-06-29 21:19:59,0.0022051651753531853,0.002472535179170651,1.1310279100576246
2026-06-29 21:20:00,2363.5,2362.6,2366.2,2362.3,0,3663,2026-06-29 21:29:59,-0.00029619599712282785,0.002462604884029342,-0.5119664865648026
2026-06-29 21:30:00,2362.65,2363.75,2364.25,2360.1,0,3183,2026-06-29 21:39:59,0.0004867518835180995,0.00244272720879574,-0.6059010764397699
2026-06-29 21:40:00,2363.9,2366.05,2366.3,2361.6,0,3154,2026-06-29 21:49:59,0.0009730301427817167,0.0024387915505763567,-0.5992736024450241
2026-06-29 21:50:00,2366.15,2364.4,2366.5,2361.15,0,2293,2026-06-29 21:59:59,-0.0006973648063227644,0.0024450004646741673,-0.7639214339240876
2026-06-29 22:00:00,2364.55,2365.0,2366.6,2363.1,0,1522,2026-06-29 22:09:59,0.0002537641684994263,0.002427080448562175,-0.9140100326642144
2026-06-29 22:10:00,2365.0,2364.6,2365.0,2363.0,0,1412,2026-06-29 22:19:59,-0.00016913319238909263,0.0023081384426027673,-0.9007817218974392
2026-06-29 22:20:00,2364.1,2363.45,2365.15,2363.0,0,1424,2026-06-29 22:29:59,-0.00048634018438642457,0.0022961297720504406,-0.8628263184999532
2026-06-29 22:30:00,2363.65,2362.9,2365.15,2362.75,0,1284,2026-06-29 22:39:59,-0.0002327106560323644,0.002299104656341655,-0.8638592768607577
2026-06-29 22:40:00,2363.3,2362.35,2363.7,2361.45,0,620,2026-06-29 22:49:59,-0.00023276482288725475,0.002298671962386662,-0.9823787081394637
2026-06-29 22:50:00,2363.05,2360.0,2363.3,2359.9,0,1766,2026-06-29 22:59:59,-0.00099477215484578,0.002277484642959453,-0.7260364958930792
2026-06-29 23:00:00,2360.25,2355.8,2361.4,2354.05,0,4066,2026-06-29 23:09:59,-0.0017796610169490412,0.002303690501889934,-0.25957420997777275
2026-06-29 23:10:00,2355.8,2353.1,2355.95,2351.95,0,3933,2026-06-29 23:19:59,-0.0011461074794126835,0.002297212127972272,-0.29420419345139487
2026-06-29 23:20:00,2353.25,2353.55,2354.1,2351.1,0,1973,2026-06-29 23:29:59,0.00019123709149648782,0.0021991791092181153,-0.6662126045114095
2026-06-29 23:30:00,2353.8,2358.5,2358.55,2351.5,0,1715,2026-06-29 23:39:59,0.0021032057955003847,0.002180511681783641,-0.7098075488818254
2026-06-29 23:40:00,2358.5,2359.25,2361.75,2357.4,0,2209,2026-06-29 23:49:59,0.00031799872800508666,0.0021791728814454176,-0.601956865864639
2026-06-30 08:50:00,2359.0,2359.0,2359.0,2359.0,0,35,2026-06-30 08:59:59,-0.00010596587898692444,0.002179544927030527,-1.0153859221298605
2026-06-30 09:00:00,2358.95,2359.4,2375.0,2346.0,0,17590,2026-06-30 09:09:59,0.00016956337431128787,0.00214055581493627,2.408782639764968
2026-06-30 09:10:00,2359.25,2350.6,2359.4,2348.0,0,11531,2026-06-30 09:19:59,-0.0037297618038485414,0.002192823171113888,1.2101569695057954
